"CO_PAIS";"CO_PAIS_ISON3";"CO_PAIS_ISOA3";"NO_PAIS";"NO_PAIS_ING";"NO_PAIS_ESP"
"000";"898";"ZZZ";"Não Definido";"Not defined";"No definido"
"013";"004";"AFG";"Afeganistão";"Afghanistan";"Afganistan"
"015";"248";"ALA";"Aland, Ilhas";"Aland Islands";"Alans, Islas"
"017";"008";"ALB";"Albânia";"Albania";"Albania"
"020";"724";"ESP";"Alboran-Perejil, Ilhas";"Alboran-Perejil, Islands";"Alboran-Perejil, Islas"
"023";"276";"DEU";"Alemanha";"Germany";"Alemania"
"025";"278";"DEU";"Alemanha Oriental";"East Germany";"Alemania del Este"
"031";"854";"BFA";"Burkina Faso";"Burkina Faso";"Burkina Faso"
"037";"020";"AND";"Andorra";"Andorra";"Andorra"
"040";"024";"AGO";"Angola";"Angola";"Angola"
"041";"660";"AIA";"Anguilla";"Anguilla";"Anguilla"
"042";"010";"ATA";"Antártica";"Antarctica";"Antártida"
"043";"028";"ATG";"Antígua e Barbuda";"Antigua and Barbuda";"Antigua y Barbuda"
"047";"530";"ANT";"Antilhas Holandesas";"Netherlands Antilles";"Antillas Holandesas"
"053";"682";"SAU";"Arábia Saudita";"Saudi Arabia";"Arabia Saudita"
"059";"012";"DZA";"Argélia";"Algeria";"Argelia"
"063";"032";"ARG";"Argentina";"Argentina";"Argentina"
"064";"051";"ARM";"Armênia";"Armenia";"Armenia"
"065";"533";"ABW";"Aruba";"Aruba";"Aruba"
"069";"036";"AUS";"Austrália";"Australia";"Australia"
"072";"040";"AUT";"Áustria";"Austria";"Austria"
"073";"031";"AZE";"Azerbaijão";"Azerbaijan";"Acerbaiyan"
"077";"044";"BHS";"Bahamas";"Bahamas";"Bahamas"
"080";"048";"BHR";"Barein";"Bahrein";"Bahrein"
"081";"050";"BGD";"Bangladesh";"Bangladesh";"Bangladesh"
"083";"052";"BRB";"Barbados";"Barbados";"Barbados"
"085";"112";"BLR";"Belarus";"Belarus";"Belarús"
"087";"056";"BEL";"Bélgica";"Belgium";"Bélgica"
"088";"084";"BLZ";"Belize";"Belize";"Belice"
"090";"060";"BMU";"Bermudas";"Bermuda";"Bermuda"
"093";"104";"MMR";"Mianmar";"Myanmar";"Myanmar"
"097";"068";"BOL";"Bolívia";"Bolivia";"Bolivia"
"098";"070";"BIH";"Bósnia-Herzegovina";"Bosnia and Herzegovina";"Bosnia y Herzegovina"
"099";"535";"BES";"Bonaire, Saint Eustatius e Saba";"Bonaire, Saint Eustatius and Saba";"Bonaire, Saint Eustatius y Saba"
"100";"898";"BRA";"Internação na Zona Franca de Manaus";"Internment in the Manaus Free Trade Zone";"Internamiento de la Zona Franca de Manaus"
"101";"072";"BWA";"Botsuana";"Botswana";"Botswana"
"102";"074";"BVT";"Bouvet, Ilha";"Bouvet Island";"Bouvet, Isla"
"105";"076";"BRA";"Brasil";"Brazil";"Brasil"
"108";"096";"BRN";"Brunei";"Brunei";"Brunei"
"111";"100";"BGR";"Bulgária";"Bulgaria";"Bulgaria"
"115";"108";"BDI";"Burundi";"Burundi";"Burundi"
"119";"064";"BTN";"Butão";"Bhutan";"Bhután"
"127";"132";"CPV";"Cabo Verde";"Cape Verde";"Cabo Verde"
"137";"136";"CYM";"Cayman, Ilhas";"Cayman Islands";"Caimán, Islas"
"141";"116";"KHM";"Camboja";"Cambodia";"Camboya"
"145";"120";"CMR";"Camarões";"Cameroon";"Camerún"
"149";"124";"CAN";"Canadá";"Canada";"Canadá"
"150";"831";"GGY";"Canal, Ilhas do (Guernsey)";"Guernsey";"Guernsey"
"151";"724";"ESP";"Canárias, Ilhas";"Canary, Islands";"Canarias, Islas"
"152";"826";"GBR";"Canal, Ilhas do (Jersey)";"Jersey";"Jersey"
"153";"398";"KAZ";"Cazaquistão";"Kazakhstan";"Kazakhstán"
"154";"634";"QAT";"Catar";"Qatar";"Qatar"
"158";"152";"CHL";"Chile";"Chile";"Chile"
"160";"156";"CHN";"China";"China";"China"
"161";"158";"TWN";"Taiwan (Formosa)";"Taiwan";"Taiwán"
"163";"196";"CYP";"Chipre";"Cyprus";"Chipre"
"165";"166";"CCK";"Cocos (Keeling), Ilhas";"Cocos (Keeling) Islands";"Cocos (Keeling), Islas"
"169";"170";"COL";"Colômbia";"Colombia";"Colombia"
"173";"174";"COM";"Comores";"Comoros";"Comoras"
"177";"178";"COG";"Congo";"Congo";"Congo"
"183";"184";"COK";"Cook, Ilhas";"Cook Islands";"Cook, Islas"
"187";"408";"PRK";"Coreia do Norte";"North Korea";"Corea (Norte)"
"190";"410";"KOR";"Coreia do Sul";"South Korea";"Corea (Sur)"
"193";"384";"CIV";"Costa do Marfim";"Cote D'Ivore";"Costa de Marfil"
"195";"191";"HRV";"Croácia";"Croatia";"Croacia"
"196";"188";"CRI";"Costa Rica";"Costa Rica";"Costa Rica"
"198";"414";"KWT";"Coveite (Kuweit)";"Kuwait";"Kuwait"
"199";"192";"CUB";"Cuba";"Cuba";"Cuba"
"200";"531";"CUW";"Curaçao";"Curaçao";"Curazao"
"229";"204";"BEN";"Benin";"Benin";"Benin"
"232";"208";"DNK";"Dinamarca";"Denmark";"Dinamarca"
"235";"212";"DMA";"Dominica";"Dominica Island";"Dominica"
"237";"784";"ARE";"Dubai";"Dubai";"Dubai"
"239";"218";"ECU";"Equador";"Ecuador";"Ecuador"
"240";"818";"EGY";"Egito";"Egypt";"Egipto"
"243";"232";"ERI";"Eritreia";"Eritrea";"Eritrea"
"244";"784";"ARE";"Emirados Árabes Unidos";"United Arab Emirates";"Emiratos Árabes Unidos"
"245";"724";"ESP";"Espanha";"Spain";"España"
