"CO_MUN_GEO";"NO_MUN";"NO_MUN_MIN";"SG_UF"
"1506807";"SANTAREM";"Santarém";"PA"
"1506906";"SANTAREM NOVO";"Santarém Novo";"PA"
"1507003";"SANTO ANTONIO DO TAUA";"Santo Antônio do Tauá";"PA"
"1507102";"SAO CAETANO DE ODIVELAS";"São Caetano de Odivelas";"PA"
"1507151";"SAO DOMINGOS DO ARAGUAIA";"São Domingos do Araguaia";"PA"
"1507201";"SAO DOMINGOS DO CAPIM";"São Domingos do Capim";"PA"
"1507300";"SAO FELIX DO XINGU";"São Félix do Xingu";"PA"
"1507409";"SAO FRANCISCO DO PARA";"São Francisco do Pará";"PA"
"1507458";"SAO GERALDO DO ARAGUAIA";"São Geraldo do Araguaia";"PA"
"1507466";"SAO JOAO DA PONTA";"São João da Ponta";"PA"
"1507474";"SAO JOAO DE PIRABAS";"São João de Pirabas";"PA"
"1507508";"SAO JOAO DO ARAGUAIA";"São João do Araguaia";"PA"
"1507607";"SAO MIGUEL DO GUAMA";"São Miguel do Guamá";"PA"
"1507706";"SAO SEBASTIAO DA BOA VISTA";"São Sebastião da Boa Vista";"PA"
"1507755";"SAPUCAIA";"Sapucaia";"PA"
"1507805";"SENADOR JOSE PORFIRIO";"Senador José Porfírio";"PA"
"1507904";"SOURE";"Soure";"PA"
"1507953";"TAILANDIA";"Tailândia";"PA"
"1507961";"TERRA ALTA";"Terra Alta";"PA"
"1507979";"TERRA SANTA";"Terra Santa";"PA"
"1508001";"TOME-ACU";"Tomé-Açu";"PA"
"1508035";"TRACUATEUA";"Tracuateua";"PA"
"1508050";"TRAIRAO";"Trairão";"PA"
"1508084";"TUCUMA";"Tucumã";"PA"
"1508100";"TUCURUI";"Tucuruí";"PA"
"1508126";"ULIANOPOLIS";"Ulianópolis";"PA"
"1508159";"URUARA";"Uruará";"PA"
"1508209";"VIGIA";"Vigia";"PA"
"1508308";"VISEU";"Viseu";"PA"
"1508357";"VITORIA DO XINGU";"Vitória do Xingu";"PA"
"1508407";"XINGUARA";"Xinguara";"PA"
"1600055";"SERRA DO NAVIO";"Serra do Navio";"AP"
"1600105";"AMAPA";"Amapá";"AP"
"1600154";"PEDRA BRANCA DO AMAPARI";"Pedra Branca do Amapari";"AP"
"1600204";"CALCOENE";"Calçoene";"AP"
"1600212";"CUTIAS";"Cutias";"AP"
"1600238";"FERREIRA GOMES";"Ferreira Gomes";"AP"
"1600253";"ITAUBAL";"Itaubal";"AP"
"1600279";"LARANJAL DO JARI";"Laranjal do Jari";"AP"
"1600303";"MACAPA";"Macapá";"AP"
"1600402";"MAZAGAO";"Mazagão";"AP"
"1600501";"OIAPOQUE";"Oiapoque";"AP"
"1600535";"PORTO GRANDE";"Porto Grande";"AP"
"1600550";"PRACUUBA";"Pracuúba";"AP"
"1600600";"SANTANA";"Santana";"AP"
"1600709";"TARTARUGALZINHO";"Tartarugalzinho";"AP"
"1600808";"VITORIA DO JARI";"Vitória do Jari";"AP"
"1700251";"ABREULANDIA";"Abreulândia";"TO"
"1700301";"AGUIARNOPOLIS";"Aguiarnópolis";"TO"
